-0.00126459	0.00147235	-0.00028443	0.00018805	-0.00799839	0.02172351	0.79410660	0.55038011	0.24402910
0.00137023	-0.00085029	0.00236447	-0.00534664	-0.00995264	0.01916500	0.79671919	0.54809999	0.24671429
0.00040372	-0.00021058	0.00094854	-0.00856395	-0.00921851	0.02170377	0.79573089	0.54878068	0.24533610
-0.00207875	-0.00026926	0.00131864	-0.00534668	-0.00800872	0.02313739	0.79322702	0.54876149	0.24574509
-0.00306554	-0.00069166	0.00283087	-0.00382991	-0.00563793	0.02203004	0.79221928	0.54837698	0.24729741
-0.00286608	0.00086670	0.00458594	-0.00357259	-0.00563560	0.01883888	0.79239798	0.54997170	0.24909350
-0.00004662	0.00065379	0.00730602	-0.00377654	-0.01159541	0.01772738	0.79519701	0.54979372	0.25185570
0.00134782	-0.00064909	0.00306662	-0.00410744	-0.01316021	0.01891947	0.79657120	0.54852408	0.24765950
-0.00075186	-0.00443047	-0.00136152	-0.00326743	-0.01025242	0.01796878	0.79445142	0.54477459	0.24327560
-0.00206859	-0.00706607	-0.00106070	-0.00262646	-0.00586308	0.01791902	0.79311490	0.54216927	0.24362180
-0.00217592	-0.00289088	-0.00223824	-0.00025709	-0.00095923	0.01798161	0.79298812	0.54637277	0.24249031
-0.00239934	0.00191557	0.00084764	0.00161895	-0.00043198	0.01510626	0.79274529	0.55120569	0.24562280
-0.00278623	0.00263754	0.00431512	0.00215093	-0.00308801	0.01498651	0.79233909	0.55195212	0.24913730
-0.00378808	0.00076850	0.00232345	0.00346360	-0.00699151	0.01995547	0.79131800	0.55010581	0.24719280
-0.00323193	-0.00108464	-0.00015451	0.00424245	-0.00639004	0.02033622	0.79185480	0.54827362	0.24476241
-0.00108077	-0.00263760	-0.00168330	0.00442976	0.00008351	0.01102489	0.79398638	0.54674000	0.24328130
0.00058666	-0.00418729	-0.00006496	0.00341185	0.00244368	0.00513905	0.79563409	0.54520810	0.24494740
0.00097498	-0.00349295	0.00002620	0.00167022	-0.00026136	0.00859059	0.79600239	0.54591841	0.24508610
-0.00114463	-0.00232095	-0.00019554	-0.00067293	-0.00309971	0.01062112	0.79386270	0.54710460	0.24491170
-0.00284001	-0.00221987	0.00480243	-0.00196837	-0.00566545	0.00884241	0.79214710	0.54721791	0.24995659
-0.00251533	-0.00188838	0.00689808	-0.00038923	-0.00815073	0.00750104	0.79245150	0.54755980	0.25209880
-0.00248221	-0.00108494	0.00552899	0.00000831	-0.01015130	0.00840952	0.79246420	0.54837167	0.25077620
-0.00186235	0.00116662	0.00185149	0.00083309	-0.01057616	0.01070944	0.79306340	0.55062991	0.24714510
-0.00149142	0.00270225	-0.00126878	0.00196660	-0.00995766	0.01231234	0.79341352	0.55217040	0.24407130
-0.00228710	0.00162330	0.00129807	-0.00105476	-0.00764358	0.01423361	0.79259658	0.55109477	0.24668460
-0.00231329	0.00040078	0.00140845	-0.00283316	-0.00457749	0.01464105	0.79254901	0.54987431	0.24684130
